slug,title,description,details,imgUrl,price,discount,mrp,isMember,isAuthDealer,isFeaturedMember,membershipLevel,shopName,isDoorstepDelivery,isDeliveryFree,isTopAd,isUrgentAd,timeStamp,category,isVerified,isJobAd,location,adType,isLocalJob
bmw-7-series-740e-phev-2018-for-sale-dhaka-3,BMW 7 Series 740e PHEV 2018,"Dhaka, Cars","19,424 km",https://i.bikroy-st.com/bmw-7-series-740e-phev-2018-for-sale-dhaka-3/c023967e-6ea1-404e-a9cd-75fef353fd51/142/107/cropped.jpg,"Tk 12,900,000",0,0,True,False,False,premium,Dream Car House,False,False,False,False,bump_up, Cars,False,False,Dhaka,for_sale,False
bajaj-discover-1-2015-for-sale-dhaka-5,Bajaj Discover . 2015,"Dhaka, Motorbikes","30,000 km, 100 cc",https://i.bikroy-st.com/bajaj-discover-1-2015-for-sale-dhaka-5/359d13bb-b2d9-402c-b2ce-f768da0b70c4/142/107/cropped.jpg,"Tk 82,000",0,0,False,False,False,free,,False,False,False,True,bump_up, Motorbikes,False,False,Dhaka,for_sale,False
oneplus-5t-phaarstt-eddishn-used-for-sale-khulna,OnePlus 5T . (Used),"Khulna, Mobile Phones",,https://i.bikroy-st.com/oneplus-5t-phaarstt-eddishn-used-for-sale-khulna/7a6bfbfe-3bb9-4efe-bc88-83c122b1b678/142/107/cropped.jpg,"Tk 14,000",0,0,False,False,False,free,,False,False,False,False,9 hours, Mobile Phones,False,False,Khulna,for_sale,False
epson-printer-for-sale-chattogram-division,Epson printer,"Chattogram Division, Laptop & Computer Accessories",,https://i.bikroy-st.com/epson-printer-for-sale-chattogram-division/23308346-7ec2-4fea-88cc-5f7937806319/142/107/cropped.jpg,"Tk 15,000",0,0,False,False,False,free,,False,False,False,False,9 hours, Laptop & Computer Accessories,False,False,Chattogram Division,for_sale,False
hp-elitebook-x360-1030-g2-business-series-ultrabook-for-sale-dhaka,Hp Elitebook X360 1030 G2 Business Series UltraBook,"Dhaka, Laptops",,https://i.bikroy-st.com/hp-elitebook-x360-1030-g2-business-series-ultrabook-for-sale-dhaka/333bf45f-9faa-490f-956a-7d0e491a4c25/142/107/cropped.jpg,"Tk 39,000",0,0,False,False,False,free,,False,False,False,False,9 hours, Laptops,False,False,Dhaka,for_sale,False
jp-pair-for-sale-chattogram,Jp pair,"Chattogram, Pets",,https://i.bikroy-st.com/jp-pair-for-sale-chattogram/8195900b-5848-4b1c-824f-43d97a24c7d4/142/107/cropped.jpg,"Tk 3,000",0,0,False,False,False,free,,False,False,False,False,9 hours, Pets,False,False,Chattogram,for_sale,False
infinix-hot-10-play-used-for-sale-chattogram-division-104,Infinix Hot 10 Play (Used),"Chattogram Division, Mobile Phones",,https://i.bikroy-st.com/infinix-hot-10-play-used-for-sale-chattogram-division-104/a82e377d-06e3-41f1-9f62-43c30d1d51f1/142/107/cropped.jpg,"Tk 9,000",0,0,False,False,False,free,,False,False,False,False,9 hours, Mobile Phones,False,False,Chattogram Division,for_sale,False
realme-c12-full-fresh-332-used-for-sale-dhaka-division-1,Realme C12 3.32 (Used),"Dhaka Division, Mobile Phones",,https://i.bikroy-st.com/realme-c12-full-fresh-332-used-for-sale-dhaka-division-1/14e30b70-0fad-4c65-bc2d-3e4be6794927/142/107/cropped.jpg,"Tk 6,500",0,0,False,False,False,free,,False,False,False,False,9 hours, Mobile Phones,False,False,Dhaka Division,for_sale,False
samsung-galaxy-a30-4-64-used-for-sale-dhaka-division-573,Samsung Galaxy A30 4/64 (Used),"Dhaka Division, Mobile Phones",,https://i.bikroy-st.com/samsung-galaxy-a30-4-64-used-for-sale-dhaka-division-573/c8fe4730-c945-4595-8c36-428cfdddff01/142/107/cropped.jpg,"Tk 12,500",0,0,False,False,False,free,,False,False,False,False,9 hours, Mobile Phones,False,False,Dhaka Division,for_sale,False
oppo-a16-2023-used-for-sale-rajshahi-2,OPPO A16 2023 (Used),"Rajshahi, Mobile Phones",,https://i.bikroy-st.com/oppo-a16-2023-used-for-sale-rajshahi-2/c3cb85bf-faba-4c9e-a7a9-2564b45daeda/142/107/cropped.jpg,"Tk 10,500",0,0,False,False,False,free,,False,False,False,False,9 hours, Mobile Phones,False,False,Rajshahi,for_sale,False
ps5-color-controller-available-with-warranty-stock-ltd-for-sale-dhaka,PS5 color controller available with warranty stock ltd,"Dhaka, Video Game Consoles & Accessories",,https://i.bikroy-st.com/ps5-color-controller-available-with-warranty-stock-ltd-for-sale-dhaka/5b1d63cd-2ca4-44ab-b475-cf6f90c0254f/142/107/cropped.jpg,"Tk 6,799",0,0,True,False,False,plus,Games Zone,False,False,False,False,9 hours, Video Game Consoles & Accessories,False,False,Dhaka,for_sale,False
phinyc-paakhi-for-sale-barishal-6,ফিঞ্চ পাখি,"Barishal, Pets",,https://i.bikroy-st.com/phinyc-paakhi-for-sale-barishal-6/7ae73743-4bcc-4b11-a1c7-75c835049ce2/142/107/cropped.jpg,"Tk 2,000",0,0,False,False,False,free,,False,False,False,False,9 hours, Pets,False,False,Barishal,for_sale,False
samsung-galaxy-a12-used-for-sale-khulna-division-174,Samsung Galaxy A12 (Used),"Khulna Division, Mobile Phones",,https://i.bikroy-st.com/samsung-galaxy-a12-used-for-sale-khulna-division-174/b630a423-851a-4bd7-b151-9def205112b3/142/107/cropped.jpg,"Tk 11,000",0,0,False,False,False,free,,False,False,False,False,9 hours, Mobile Phones,False,False,Khulna Division,for_sale,False
computer-table-for-sale-chattogram-588,Computer Table,"Chattogram, Living Room Furniture",,https://i.bikroy-st.com/computer-table-for-sale-chattogram-588/67e6f769-af24-49e2-b74b-7eb24081a9aa/142/107/cropped.jpg,"Tk 5,500",0,0,False,False,False,free,,False,False,False,False,9 hours, Living Room Furniture,False,False,Chattogram,for_sale,False
samsung-galaxy-m11-full-ok-used-for-sale-dhaka,Samsung Galaxy M11 . (Used),"Dhaka, Mobile Phones",,https://i.bikroy-st.com/samsung-galaxy-m11-full-ok-used-for-sale-dhaka/00068302-fead-45c7-b9c3-df32ba61d40c/142/107/cropped.jpg,"Tk 7,500",0,0,False,False,False,free,,False,False,False,False,9 hours, Mobile Phones,False,False,Dhaka,for_sale,False
